Key|Name|SortName|Dates|SortWithDates|Role|Epoque||
alfano|Franco Alfano|Alfano, Franco|(1875-1954)|Alfano, Franco (1875-1954)|Composer|Romantic|Alfano|
alfonsoferrabosco|Alfonso Ferrabosco|Ferrabosco, Alfonso|(1543-1588)|Ferrabosco, Alfonso (1543-1588)|Composer|Renaissance|Ferrabosco|Ferrabosco, Alfonso
alfonsoferrabosco theyounger|Alfonso Ferrabosco the younger|younger, Alfonso Ferrabosco the|(c1575-1628)|younger, Alfonso Ferrabosco the (c1575-1628)|Composer|Baroque|younger|Alfonso Ferrabosco the younger (c1575-1628)
alfonsofontanelli|Alfonso Fontanelli|Fontanelli, Alfonso|(1557-1622)|Fontanelli, Alfonso (1557-1622)|Composer|Baroque|Fontanelli|Alfonso Fontanelli (1557-1622)
alford|Kenneth Alford|Alford, Kenneth|(1881-1945)|Alford, Kenneth (1881-1945)|Composer||Alford|
alfredburt|Alfred Burt|Burt, Alfred||Burt, Alfred|Composer||Burt|Burt, Alfred
alfredgehardt|Alfred Gehardt|Gehardt, Alfred|||Conductor||Gehardt|
alfredhill|Alfred Hill|Hill, Alfred|(1869-1960)|Hill, Alfred (1869-1960)|Composer|Romantic|Hill|Alfred Hill (1869-1960)
alfredocatalani|Alfredo Catalani|Catalani, Alfredo|(1854-1893)|Catalani, Alfredo (1854-1893)|Composer|Romantic|Catalani|Alfredo Catalani (1854-1893)
alfredodambrosio|Alfredo D'Ambrosio|D'Ambrosio, Alfredo|(1871-1914)|D'Ambrosio, Alfredo (1871-1914)|Composer|Romantic|D'Ambrosio|Alfredo D'Ambrosio (1871-1914)
alfredreed|Alfred Reed|Reed, Alfred|(1921-2005)|Reed, Alfred (1921-2005)|Composer|20th Century|Reed|Reed, Alfred
alfredschnittke|Alfred Schnittke|Schnittke, Alfred|||Conductor||Schnittke|
alfredscholz|Alfred Scholz|Scholz, Alfred|||Conductor||Scholz|
alfven|Hugo Alfvén|Alfvén, Hugo|(1872-1960)|Alfvén, Hugo (1872-1960)|Composer|Romantic|Alfvén|
algreenwood|Al Greenwood|Greenwood, Al||Greenwood, Al|Composer||Greenwood|Greenwood, Al
alistairdixon|Alistair Dixon|Dixon, Alistair|||Conductor||Dixon|
alkan|Charles-Valentin Alkan|Alkan, Charles-Valentin|(1813-1888)|Alkan, Charles-Valentin (1813-1888)|Composer|Romantic|Alkan|
allegri|Domenico Allegri|Allegri, Domenico|(1585-1629)|Allegri, Domenico (1585-1629)|Composer|Baroque|Allegri|
allen|Euphemia Allen|Allen, Euphemia|(1861-1948)|Allen, Euphemia (1861-1948)|Composer|Romantic|Allen|
allencollins|Allen Collins|Collins, Allen||Collins, Allen|Composer||Collins|Collins, Allen
allenshearer|Allen Shearer|Shearer, Allen||Shearer, Allen|Composer||Shearer|Shearer, Allen
allison|Richard Allison|Allison, Richard|(1560/1570-before 1610)|Allison, Richard (1560/1570-before 1610)|Composer|Baroque|Allison|
almamahler|Alma Mahler|Mahler, Alma|(1879-1964)|Mahler, Alma (1879-1964)|Composer|Romantic|Mahler|Alma Mahler (1879-1964)
almeida|Francisco António de Almeida|Almeida, Francisco António de|(1702-1755)|Almeida, Francisco António de (1702-1755)|Composer|Classical|Almeida|
alonsolobo|Alonso Lobo|Lobo, Alonso|(1555-1617)|Lobo, Alonso (1555-1617)|Composer|Baroque|Lobo|Alonso Lobo (1555-1617)
alonsomudarra|Alonso Mudarra|Mudarra, Alonso|(1510-1570)|Mudarra, Alonso (1510-1570)|Composer|Renaissance|Mudarra|Mudarra, Alonso
alpaerts|Flor Alpaerts|Alpaerts, Flor|(1876-1954)|Alpaerts, Flor (1876-1954)|Composer|Romantic|Alpaerts|
alphonsedeve [it]|Alphonse d'Eve [it]|d'Eve [it], Alphonse|(1666-1727)|d'Eve [it], Alphonse (1666-1727)|Composer|Baroque|d'Eve [it]|Alphonse d'Eve [it] (1666-1727)
altenburg|Michael Altenburg|Altenburg, Michael|(1584-1640)|Altenburg, Michael (1584-1640)|Composer|Baroque|Altenburg|
alterbridge|Alter Bridge|Bridge, Alter||Bridge, Alter|Composer||Bridge|Bridge, Alter
